Jersey,Player,Yr,Pos,Ht,GP,GS,MP,FGM,FGA,FG%,3FG,3FGA,3FG%,FT,FTA,FT%,PTS,AvgPTS,ORebs,DRebs,Tot Reb,AvgReb,AST,TO,STL,BLK,Fouls,Dbl Dbl,Trpl Dbl,DQ
1,"Boykins, Devonte",Fr,G,6-2,25,,154:00:00,12,25,48,5,15,33.33,5,6,83.33,34,1.36,3,17,20,0.8,15,7,6,,16,,,
2,"Hughes, Mike",Fr,G,6-3,31,31,940:00:00,80,185,43.24,30,96,31.25,46,68,67.65,236,7.61,49,102,151,4.87,70,43,40,7,60,,,
3,"Ferguson, Eric",Sr,F,6-8,25,4,509:00:00,74,161,45.96,18,54,33.33,34,68,50,200,8,45,88,133,5.32,10,39,14,15,75,1,,3
4,"Diamond, Curtis",Sr,G,6-3,31,7,769:00:00,83,239,34.73,36,138,26.09,41,74,55.41,243,7.84,21,75,96,3.1,31,39,19,5,62,1,,
5,"Hewitt, Jelani",Sr,G,6-2,31,31,1087:00:00,149,424,35.14,89,266,33.46,159,197,80.71,546,17.61,31,99,130,4.19,114,80,77,10,57,,,
10,"Allsmiller, Jake",Fr,G,6-5,31,19,656:00:00,44,120,36.67,40,111,36.04,5,8,62.5,133,4.29,6,49,55,1.77,27,20,13,3,61,,,1
13,"Matias, Angel",Sr,F,6-4,27,27,702:00:00,90,182,49.45,4,14,28.57,37,54,68.52,221,8.19,65,87,152,5.63,50,45,23,11,62,2,,
14,"Simmons, Coye",Fr,F,6-8,19,,98:00:00,14,26,53.85,,,,6,13,46.15,34,1.79,16,25,41,2.16,,3,1,2,13,1,,
30,"Kelly, Scott",So,F,6-5,5,,14:00,1,1,100,,,,1,2,50,3,0.6,2,4,6,1.2,1,2,,,1,,,
31,"Suter, D.J.",Sr,G,6-0,7,,24:00:00,4,9,44.44,2,6,33.33,,,,10,1.43,1,4,5,0.71,1,,,2,1,,,
32,"Altany, Zach",Sr,G,6-4,6,,14:00,1,11,9.09,1,8,12.5,,,,3,0.5,,2,2,0.33,,1,1,,,,,
33,"Clark, Grayson",So,G,6-2,6,,32:00:00,5,12,41.67,3,7,42.86,2,4,50,15,2.5,4,7,11,1.83,,2,,,3,,,
35,"Doyle, Kyle",So,F,-,29,5,352:00:00,31,74,41.89,1,4,25,11,29,37.93,74,2.55,29,38,67,2.31,10,29,10,13,51,,,1
44,"Wiedeman, Trent",Sr,F,6-8,31,31,899:00:00,145,296,48.99,5,21,23.81,65,93,69.89,360,11.61,67,107,174,5.61,32,53,22,31,60,,,
