Jersey,Player,Yr,Pos,Ht,GP,GS,Min,FGM,FGA,FG%,3FG,3FGA,3FG%,FT,FTA,FT%,PTS,AvgPTS,OReb,DReb,Tot Reb,AvgReb,AST,TO,STL,BLK,Fouls,Dbl Dbl,Trpl Dbl
0,"Drayton, Ben",Jr,G,5-10,32,32,1184:00:00,185,385,48.05,20,76,26.32,114,159,71.7,504,15.75,35,79,114,3.56,146,113,60,1,74,1,0
2,"Spencer, Rory",Sr,F,6-8,29,24,679:00:00,89,189,47.09,0,0,,94,133,70.68,272,9.38,48,99,147,5.07,23,59,23,35,94,0,0
3,"Ferguson, Eric",Fr,G,6-7,31,26,894:00:00,135,292,46.23,5,26,19.23,98,141,69.5,373,12.03,68,107,175,5.65,48,97,46,26,109,2,0
5,"Hewitt, Jelani",Fr,G,6-2,32,29,934:00:00,102,269,37.92,39,122,31.97,45,62,72.58,288,9,23,92,115,3.59,80,116,62,4,84,0,0
10,"Baynham, Marvin",Fr,F,6-6,32,14,662:00:00,60,103,58.25,0,0,,34,67,50.75,154,4.81,45,74,119,3.72,10,37,21,9,123,1,0
11,"Bussey, Tré",Fr,G,6-2,30,10,671:00:00,73,180,40.56,39,104,37.5,20,28,71.43,205,6.83,12,43,55,1.83,28,41,18,2,52,0,0
12,"James, Zuri",So,G,6-2,30,15,671:00:00,50,140,35.71,35,94,37.23,21,25,84,156,5.2,8,31,39,1.3,33,35,19,0,44,0,0
24,"Younker, Austin",Fr,F,6-6,3,0,1:00,0,0,,0,0,,3,4,75,3,1,0,0,0,0,0,0,0,0,1,0,0
32,"Baskerville, Cameron",So,F,6-7,28,9,490:00:00,37,75,49.33,4,13,30.77,22,31,70.97,100,3.57,26,52,78,2.79,12,44,24,8,71,1,0
35,"Taylor, Justin",Fr,F,6-7,10,0,1:22,2,5,40,0,0,,5,12,41.67,9,0.9,4,11,15,1.5,0,5,2,0,6,0,0
45,"Mike, Sam",Fr,F,6-6,27,1,182:00:00,12,23,52.17,0,0,,2,4,50,26,0.96,13,19,32,1.19,1,13,1,2,44,0,0
