Jersey,Player,Yr,Pos,Ht,GP,GS,Min,FGM,FGA,FG%,3FG,3FGA,3FG%,FT,FTA,FT%,PTS,AvgPTS,OReb,DReb,Tot Reb,AvgReb,AST,TO,STL,BLK,Fouls,Dbl Dbl,Trpl Dbl
0,"Drayton, Ben",Sr,G,5-10,30,30,946:00:00,129,282,45.74,31,84,36.9,67,104,64.42,356,11.87,17,46,63,2.1,89,62,48,0,52,0,0
1,"Pernell, Jessie",Fr,G,6-1,29,0,421:00:00,30,75,40,14,39,35.9,7,10,70,81,2.79,5,44,49,1.69,17,19,13,0,29,0,0
2,"Mike, Sam",So,F,6-6,6,0,35:00:00,2,4,50,0,0,,2,3,66.67,6,1,2,0,2,0.33,0,5,1,0,6,0,0
3,"Ferguson, Eric",So,G,6-7,30,28,846:00:00,187,329,56.84,8,34,23.53,80,132,60.61,462,15.4,65,151,216,7.2,24,61,46,34,100,5,0
4,"Ham Jr., Tracy",Fr,G,5-8,4,0,6:00,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0
5,"Hewitt, Jelani",So,G,6-2,30,29,869:00:00,111,275,40.36,57,144,39.58,37,47,78.72,316,10.53,28,75,103,3.43,42,44,38,2,62,0,0
10,"Baynham, Marvin",So,F,6-6,30,7,500:00:00,30,68,44.12,0,0,,15,29,51.72,75,2.5,38,68,106,3.53,10,41,12,5,75,0,0
11,"Bussey, Tré",So,G,6-2,30,1,463:00:00,56,141,39.72,26,67,38.81,24,35,68.57,162,5.4,13,31,44,1.47,6,27,17,1,34,0,0
12,"Goydish II, Joe",Fr,G,5-10,2,,2:00,,,,,,,,,,,,,1,1,0.5,,,,,1,,
13,"Harvey, Edwin",Fr,G,6-2,2,,3:00,1,1,100,,,,,,,2,1,1,1,2,1,,1,,,1,,
24,"Waddell, Chad",Fr,G,6-1,11,0,12:00,1,3,33.33,0,1,0,0,0,,2,0.18,1,0,1,0.09,1,3,0,0,0,0,0
25,"Brown, Tyrone",Fr,F,6-8,30,0,246:00:00,32,53,60.38,0,0,,9,14,64.29,73,2.43,17,18,35,1.17,5,20,6,6,28,0,0
32,"Baskerville, Cameron",Jr,F,6-7,30,25,604:00:00,43,91,47.25,0,7,0,36,45,80,122,4.07,26,55,81,2.7,11,46,9,8,89,0,0
34,"Dunnican, Kameron",Fr,C,6-8,30,0,197:00:00,10,19,52.63,0,0,,2,6,33.33,22,0.73,14,26,40,1.33,5,20,3,9,40,0,0
50,"Powers III, Willie",Sr,G,6-2,30,30,925:00:00,117,265,44.15,27,87,31.03,62,86,72.09,323,10.77,14,107,121,4.03,161,90,35,4,61,1,0
